Resource_ID,Domain_ID,Domain,Resource_Name,Resource_Description,Resource_type,Resource_Redirect_URL,Category,Resource_icon
y9zopruh,40ff6da3,Relaxation,Wonderful Places,Wonderful Places to visit,Image,https://www.instagram.com/wonderful_places/,Instagram Page,https://instagram.fbom3-1.fna.fbcdn.net/v/t51.2885-19/11909401_1648411188765558_482213781_a.jpg?_nc_ht=instagram.fbom3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=HFVlfVPTWFYAX82ekGj&edm=APU89FABAAAA&ccb=7-5&oh=00_AfAwpCRfAObL64tg2N9Fm_jAZo_1twwLm1vSVK0gaTJwuw&oe=63635860&_nc_sid=86f79a
vdidg8a5,5f6a443b,Learning,Nas Daily,Know something new,Video,https://www.instagram.com/nasdaily/,Instagram Page,https://instagram.fbom3-1.fna.fbcdn.net/v/t51.2885-19/298523273_499660698633909_1569695349831437171_n.jpg?stp=dst-jpg_s150x150&_nc_ht=instagram.fbom3-1.fna.fbcdn.net&_nc_cat=1&_nc_ohc=zersr7MP9NMAX-AhTeW&edm=AOQ1c0wBAAAA&ccb=7-5&oh=00_AfBvb5-FuG3fsbiM9IiPGQ8bD0ZCffWjSJyiEyni2lz0Lw&oe=63653629&_nc_sid=8fd12b
26xblefj,c04e3201,Self Growth,Mark Manson,Life Advices,Image,https://www.instagram.com/markmanson/,Instagram Page,https://cdn-icons-png.flaticon.com/512/2111/2111463.png
42d43zzv,g98a94gj,Relationships,Matthew Hussey,Relationships advice,Video,https://www.instagram.com/thematthewhussey/,Instagram Page,https://cdn-icons-png.flaticon.com/512/2111/2111463.png
ewznxvuw,5f6a443b,Learning,Financial Times,Financial stuffs,Image,https://www.instagram.com/financialtimes/,Instagram Page,https://cdn-icons-png.flaticon.com/512/2111/2111463.png
z8bqc8kn,a6d0f589,Sleep Management,Why we sleep,Unlocking the Power of Sleep and Dreams,Resource URL,https://www.amazon.in/Why-We-Sleep-Unlocking-Dreams/dp/1501144324/ref=sr_1_5?keywords=why+do+we+sleep&qid=1667156415&qu=eyJxc2MiOiIxLjEzIiwicXNhIjoiMC42OSIsInFzcCI6IjAuNTYifQ%3D%3D&s=books&sr=1-5,Book,"https://m.media-amazon.com/images/I/41V63uOCRDL._SX326_BO1,204,203,200_.jpg"
bnlqcqpo,5d7dbcec,Productivity,Do it today,Overcome procrastination improve productivity,Resource URL,https://www.amazon.in/Do-Today-procrastination-productivity-meaningful/dp/0143452126/ref=sr_1_3?crid=12VG8AUTH6OQN&keywords=productivity&qid=1667156609&qu=eyJxc2MiOiI0Ljk3IiwicXNhIjoiNC42NiIsInFzcCI6IjMuMzEifQ%3D%3D&sprefix=productivity%2Caps%2C221&sr=8-3,Book,"https://m.media-amazon.com/images/I/41W-o6xu2bL._SX323_BO1,204,203,200_.jpg"
rriixt2k,5d7dbcec,Productivity,Productivity Gadget,Universal Travel adapter,Resource URL,https://www.amazon.in/SKIN4GADGETS-Universal-Travel-Adapter-Individual/dp/B07GTLWHYZ/ref=sr_1_16?crid=13LUSLH8CFWLY&keywords=productivity+gadgets&qid=1667156763&qu=eyJxc2MiOiI2LjczIiwicXNhIjoiNi4yNyIsInFzcCI6IjIuNzMifQ%3D%3D&sprefix=productivity%2Caps%2C227&sr=8-16,Gadget,https://m.media-amazon.com/images/I/51kNDHtaWzL._SL1200_.jpg
hygu61wc,5d7dbcec,Productivity,Productivity Gadget,Cable Protector Cord,Resource URL,https://www.amazon.in/GIZGA-Protector-Charging-Protective-G55/dp/B08MTCKDYN/ref=sr_1_15?crid=1DZ59I4QGYPQA&keywords=productivity+gadgets&qid=1667204782&qu=eyJxc2MiOiI2LjczIiwicXNhIjoiNi4yNyIsInFzcCI6IjIuNzMifQ%3D%3D&sprefix=productivity+gadgets%2Caps%2C230&sr=8-15,Gadget,https://m.media-amazon.com/images/I/61uyM38tYtS._SL1500_.jpg
kz333vqq,9552470e,Physical Health,,,,,,
yloc5hnk,9552470e,Physical Health,,,,,,
6j3zbr7x,9552470e,Physical Health,,,,,,
fncicxly,9552470e,Physical Health,,,,,,
9lmf7nww,9552470e,Physical Health,,,,,,
5omdergc,9552470e,Physical Health,,,,,,
sfujmnsd,9552470e,Physical Health,,,,,,
ggwnii7g,,,,,,,,
xrgwv3pi,,,,,,,,
6hhrf1ro,,,,,,,,
efu1imgs,,,,,,,,
4b515wnn,g98a94gj,Relationships,,,,,,
yw51kc1n,,,,,,,,
xn1pkls6,,,,,,,,
beqz3ab9,,,,,,,,
nq5wq8n8,,,,,,,,
lq4fdxmp,,,,,,,,
w6s4rsqd,,,,,,,,
2rol5uv7,,,,,,,,
5p7ijtgl,,,,,,,,
djuesxrd,,,,,,,,
elqe6wj1,,,,,,,,
hhk477pt,,,,,,,,
1sfhyu9e,,,,,,,,
rlqjnxo5,,,,,,,,
tcisigh5,,,,,,,,
yzyywsmd,,,,,,,,
ajlks78r,,,,,,,,
k57f1npt,,,,,,,,
7w8y2hkr,,,,,,,,
c94wop7o,,,,,,,,
5oskeyly,,,,,,,,
z9kqo7pm,,,,,,,,
ihhusjyb,,,,,,,,
id5e9yjz,,,,,,,,
xu2858ja,,,,,,,,
kz3lfr67,,,,,,,,
adouno44,,,,,,,,
e37c7roo,,,,,,,,
uthyyc23,,,,,,,,
ba89rqmi,,,,,,,,
sydqk9db,,,,,,,,
36qvg5ht,,,,,,,,
ikhibf93,,,,,,,,
umtbaysr,,,,,,,,
bbzs1nbr,,,,,,,,
mw3rljhj,,,,,,,,
lo84b9ds,,,,,,,,
ohx19gzq,,,,,,,,
